BIRIM;TARIH;SAAT;CIRO;  altin ;euro;dolar;temperature;special days
B;8.1.2011;17;2424.74;68503,34;20318;15646;4;0
B;8.1.2011;18;2842.18;68503,34;20318;15646;4;0
B;8.1.2011;19;4118.35;68503,34;20318;15646;4;0
B;8.1.2011;20;3283.77;68503,34;20318;15646;4;0
B;8.1.2011;21;1942.56;68503,34;20318;15646;4;0
B;9.1.2011;10;46.13;68503,34;20318;15646;6;0
B;9.1.2011;11;747.02;68503,34;20318;15646;6;0
B;9.1.2011;12;1659.54;68503,34;20318;15646;6;0
B;9.1.2011;13;2336.35;68503,34;20318;15646;6;0
B;9.1.2011;14;4133.29;68503,34;20318;15646;6;0
B;9.1.2011;15;3723.27;68503,34;20318;15646;6;0
B;9.1.2011;16;3513.7;68503,34;20318;15646;6;0
B;9.1.2011;17;4144.92;68503,34;20318;15646;6;0
B;9.1.2011;18;3289.37;68503,34;20318;15646;6;0
B;9.1.2011;19;3581.01;68503,34;20318;15646;6;0
B;9.1.2011;20;1892.97;68503,34;20318;15646;6;0
B;9.1.2011;21;1431.9;68503,34;20318;15646;6;0
B;10.1.2011;10;139.88;68468,44;20463;15854;7;0
B;10.1.2011;11;404.68;68468,44;20463;15854;7;0
B;10.1.2011;12;313.25;68468,44;20463;15854;7;0
B;10.1.2011;13;845.29;68468,44;20463;15854;7;0
B;10.1.2011;14;710.5;68468,44;20463;15854;7;0
B;10.1.2011;15;441.41;68468,44;20463;15854;7;0
B;10.1.2011;16;405.27;68468,44;20463;15854;7;0
B;10.1.2011;17;770.2;68468,44;20463;15854;7;0
B;10.1.2011;18;600.14;68468,44;20463;15854;7;0
B;10.1.2011;19;1348.47;68468,44;20463;15854;7;0
B;10.1.2011;20;2364.46;68468,44;20463;15854;7;0
B;10.1.2011;21;867.34;68468,44;20463;15854;7;0
B;11.1.2011;10;218.65;69852,95;20426;15778;9;0
B;11.1.2011;11;553.68;69852,95;20426;15778;9;0
B;11.1.2011;12;554.25;69852,95;20426;15778;9;0
B;11.1.2011;13;534.48;69852,95;20426;15778;9;0
B;11.1.2011;14;1494.76;69852,95;20426;15778;9;0
B;11.1.2011;15;1672.64;69852,95;20426;15778;9;0
B;11.1.2011;16;909.67;69852,95;20426;15778;9;0
B;11.1.2011;17;652.93;69852,95;20426;15778;9;0
B;11.1.2011;18;827.97;69852,95;20426;15778;9;0
B;11.1.2011;19;721.43;69852,95;20426;15778;9;0
B;11.1.2011;20;821.43;69852,95;20426;15778;9;0
B;11.1.2011;21;473.5;69852,95;20426;15778;9;0
B;12.1.2011;10;24.43;70100,1;20399;15694;9;0
B;12.1.2011;11;216.75;70100,1;20399;15694;9;0
B;12.1.2011;12;272.77;70100,1;20399;15694;9;0
B;12.1.2011;13;1098.5;70100,1;20399;15694;9;0
B;12.1.2011;14;772.6;70100,1;20399;15694;9;0
B;12.1.2011;15;1394.39;70100,1;20399;15694;9;0
B;12.1.2011;16;252.31;70100,1;20399;15694;9;0
B;12.1.2011;17;445.34;70100,1;20399;15694;9;0
B;12.1.2011;18;961.62;70100,1;20399;15694;9;0
B;12.1.2011;19;1180.03;70100,1;20399;15694;9;0
B;12.1.2011;20;1071.67;70100,1;20399;15694;9;0
B;12.1.2011;21;604.07;70100,1;20399;15694;9;0
B;1.13.2011;10;311.9;69813,95;20515;15589;8;0
B;1.13.2011;11;1005.55;69813,95;20515;15589;8;0
B;1.13.2011;12;170.16;69813,95;20515;15589;8;0
B;1.13.2011;13;403.85;69813,95;20515;15589;8;0
B;1.13.2011;14;919.56;69813,95;20515;15589;8;0
B;1.13.2011;15;1293.18;69813,95;20515;15589;8;0
B;1.13.2011;16;1316.49;69813,95;20515;15589;8;0
B;1.13.2011;17;595.81;69813,95;20515;15589;8;0
B;1.13.2011;18;528.17;69813,95;20515;15589;8;0
B;1.13.2011;19;1230.75;69813,95;20515;15589;8;0
B;1.13.2011;20;1364.97;69813,95;20515;15589;8;0
B;1.13.2011;21;346.38;69813,95;20515;15589;8;0
B;1.14.2011;10;309.17;69265,13;20743;15503;8;0
B;1.14.2011;11;600.34;69265,13;20743;15503;8;0
B;1.14.2011;12;603.12;69265,13;20743;15503;8;0
B;1.14.2011;13;2496.01;69265,13;20743;15503;8;0
B;1.14.2011;14;1073.44;69265,13;20743;15503;8;0
